lat,lon,period,zone
32.82359055,35.85303692,Early Pliocene Basalt,1
32.82269798,35.85218529,Early Pliocene Basalt,1
32.82146986,35.85132072,Early Pliocene Basalt,1
32.82068674,35.8505268,Early Pliocene Basalt,1
32.81988326,35.84945405,Early Pliocene Basalt,1
32.81912582,35.84885195,Early Pliocene Basalt,1
32.81821716,35.84798615,Early Pliocene Basalt,1
32.8177266,35.84789161,Early Pliocene Basalt,1
32.81643119,35.84716959,Early Pliocene Basalt,1
32.81483739,35.84610754,Early Pliocene Basalt,1
32.81369224,35.84538397,Early Pliocene Basalt,1
32.81281525,35.84472066,Early Pliocene Basalt,1
32.8113808,35.8440072,Early Pliocene Basalt,1
32.81102762,35.84371998,Early Pliocene Basalt,1
32.81014806,35.84287123,Early Pliocene Basalt,1
32.80926506,35.84201942,Early Pliocene Basalt,1
32.80782038,35.84103777,Early Pliocene Basalt,1
32.80744489,35.84047486,Early Pliocene Basalt,1
32.8058489,35.8394203,Early Pliocene Basalt,1
32.80519267,35.83860481,Early Pliocene Basalt,1
32.80453431,35.83824132,Early Pliocene Basalt,1
32.80375718,35.83736769,Early Pliocene Basalt,1
32.80291555,35.83672627,Early Pliocene Basalt,1
32.80207182,35.83510447,Early Pliocene Basalt,1
32.80049081,35.83340569,Early Pliocene Basalt,1
32.79803726,35.83125692,Early Pliocene Basalt,1
32.79706071,35.83035892,Early Pliocene Basalt,1
32.79604169,35.82970488,Early Pliocene Basalt,1
32.79504996,35.82880176,Early Pliocene Basalt,1
32.79428358,35.82793364,Early Pliocene Basalt,1
32.79345171,35.82730243,Early Pliocene Basalt,1
32.79283364,35.82644468,Early Pliocene Basalt,1
32.79159561,35.8242518,Early Pliocene Basalt,1
32.79050292,35.82332633,Early Pliocene Basalt,1
32.7898028,35.82196769,Early Pliocene Basalt,1
32.78912335,35.82086652,Early Pliocene Basalt,1
32.78861232,35.82003835,Early Pliocene Basalt,1
32.78792904,35.81893103,Early Pliocene Basalt,1
32.78777795,35.81814925,Early Pliocene Basalt,1
32.78739519,35.81733689,Early Pliocene Basalt,1
32.78658198,35.81646773,Early Pliocene Basalt,1
32.78602256,35.81563219,Early Pliocene Basalt,1
32.7844235,35.8139034,Early Pliocene Basalt,1
32.7836235,35.81304249,Early Pliocene Basalt,1
32.78268208,35.81141093,Early Pliocene Basalt,1
32.78234212,35.8108548,Early Pliocene Basalt,1
32.78145135,35.80964972,Early Pliocene Basalt,1
32.78089725,35.80881023,Early Pliocene Basalt,1
32.77992559,35.80596494,Early Pliocene Basalt,1
32.77956764,35.80410025,Early Pliocene Basalt,1
32.77985452,35.80278223,Early Pliocene Basalt,1
32.77955736,35.80061445,Early Pliocene Basalt,1
32.77934745,35.80010521,Early Pliocene Basalt,1
32.77866971,35.7990924,Early Pliocene Basalt,1
32.77787219,35.79730824,Early Pliocene Basalt,1
32.77728384,35.79515645,Early Pliocene Basalt,1
